Timestamp,Room,Total Energy (W),Total ON Time (s)
2025-01-16 20:44:22,Kitchen,0.7005436897277832,7.005436897277832
2025-01-16 20:44:22,LivingRoom,0.20059325695037844,2.005932569503784
2025-01-16 20:47:59,Bedroom,1.1024895668029786,11.024895668029785
2025-01-16 20:47:59,Bathroom,0.8031622409820557,8.031622409820557
2025-01-16 20:47:59,Kitchen,0.30130193233489994,3.013019323348999
2025-01-16 20:47:59,LivingRoom,0.7017138957977296,7.017138957977295
2025-01-16 20:48:29,Bedroom,1.5047891378402711,15.04789137840271
2025-01-16 20:48:29,Bathroom,1.7041945219039918,17.041945219039917
2025-01-16 20:48:29,Kitchen,0.30130193233489994,3.013019323348999
2025-01-16 20:48:29,LivingRoom,1.603086566925049,16.03086566925049
2025-01-16 20:48:29,DiningRoom,0.7011256217956543,7.011256217956543
